MODEL_NAME,TASK,BATCH_SIZE,IMAGE_SIZE,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY,FLOPS
squeezenet1_1,image-classification,28,224,14,1,1,, -multicast-weights -use-producer-dma=1,4,fp16,best-throughput,21557.031,5.3000721,15.06068761
vgg11,image-classification,15,224,1,14,2,1, -multicast-weights -aic-enable-depth-first,6,fp16,best-throughput,4372.342,281.7106352,66.53952677
vgg11_bn,image-classification,15,224,1,14,4,1, -aic-enable-depth-first,4,fp16,best-throughput,4414.533,48.8619376,67.44386151
vgg13,image-classification,15,224,1,14,4,1, -multicast-weights -aic-enable-depth-first,4,fp16,best-throughput,3486.292,48.6763054,78.84958018
vgg13_bn,image-classification,15,224,1,14,4,1, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,3517.295,48.67307735,79.89527241
vgg16,image-classification,15,224,1,14,1,1, -aic-enable-depth-first,2,fp16,best-throughput,2721.235,96.12709055,84.19672254
vgg16_bn,image-classification,15,224,1,14,2,1, -aic-enable-depth-first,3,fp16,best-throughput,2743.444,228.7062245,85.18121786
vgg19,image-classification,15,224,1,14,2,1, -aic-enable-depth-first,2,fp16,best-throughput,2230.961,225.6674085,87.59695529
vgg19_bn,image-classification,15,224,1,14,4,1, -aic-enable-depth-first,3,fp16,best-throughput,2297.814,48.5260367,90.49490538
vit_b_16,image-classification,4,224,2,7,4,1, ,2,fp16,best-throughput,1244.64,45.5768199,28.09464783
vit_b_32,image-classification,14,224,2,7,2,1, ,6,fp16,best-throughput,5504.441,107.7013309,32.4912698
wide_resnet101_2,image-classification,4,224,2,7,2,, -multicast-weights -use-producer-dma=1,5,fp16,best-throughput,1530.635,105.2021743,69.91343982
wide_resnet50_2,image-classification,12,224,6,2,2,, ,6,fp16,best-throughput,2891.269,50.524523,66.24316841
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
alexnet,image-classification,1,224,3,4,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,946.652,0.6265688,1.352210803
densenet121,image-classification,1,224,1,14,1,, ,1,fp16,best-latency,6225.738,1.02472635,36.07201443
densenet161,image-classification,1,224,12,1,1,3, ,1,fp16,best-latency,300.954,3.2598375,4.722474498
densenet169,image-classification,1,224,6,2,1,4, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,1242.291,1.614189,8.537314746
densenet201,image-classification,1,224,12,1,1,2, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,546.609,1.9909164,4.799644577
efficientnet_b0,image-classification,1,224,7,2,1,, -multicast-weights,1,fp16,best-latency,2377.455,0.9374055,1.973977226
efficientnet_b1,image-classification,1,240,2,7,2,, ,1,fp16,best-latency,2776.601,0.85363,4.078746992
efficientnet_b2,image-classification,1,260,2,7,2,, -aic-enable-depth-first,1,fp16,best-latency,1889.361,0.82860435,3.983635141
efficientnet_b3,image-classification,1,300,3,4,1,, ,1,fp16,best-latency,1055.19,0.62698995,4.076293515
efficientnet_b4,image-classification,1,380,4,3,1,, -multicast-weights -aic-enable-depth-first,1,fp16,best-latency,349.892,0.4428412,3.227013916
efficientnet_b5,image-classification,1,456,4,3,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,224.153,0.4270011,4.798104897
efficientnet_b6,image-classification,1,528,4,3,1,, ,1,fp16,best-latency,88.089,0.4245718,3.489521448
efficientnet_b7,image-classification,1,600,4,3,1,, -multicast-weights,1,fp16,best-latency,37.762,0.4240004,2.947644392
efficientnet_v2_l,image-classification,1,480,4,3,1,, -multicast-weights,1,fp16,best-latency,173.08,0.425806,19.64783187
efficientnet_v2_m,image-classification,1,480,7,2,2,7, -aic-enable-depth-first,1,fp16,best-latency,180.21,0.8378767,8.999415603
efficientnet_v2_s,image-classification,1,384,3,4,1,, ,1,fp16,best-latency,873.029,0.62162475,14.87376205
inception_v3,image-classification,1,299,4,3,1,4, -multicast-weights -aic-enable-depth-first,1,fp16,best-latency,950.318,0.6009714,10.92717292
mnasnet0_5,image-classification,1,224,7,2,1,7, ,1,fp16,best-latency,4954.847,0.52753975,1.156636969
mnasnet0_75,image-classification,1,224,12,1,1,, ,1,fp16,best-latency,2461.481,0.4083121,1.154699011
mnasnet1_0,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,2364.675,0.545205,1.590208146
mnasnet1_3,image-classification,1,224,12,1,2,, ,1,fp16,best-latency,1635.698,0.58949035,1.818149774
mobilenet_v2,image-classification,1,224,12,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,2331.492,0.5490854,1.527065336
mobilenet_v3_large,image-classification,1,224,7,2,1,4, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,3265.116,0.63379025,1.5335496
mobilenet_v3_small,image-classification,1,224,12,1,1,1, ,1,fp16,best-latency,1645.826,0.605544,0.205655649
resnet101,image-classification,1,224,2,7,2,, -aic-enable-depth-first,1,fp16,best-latency,1327.922,0.8197429,20.89202575
resnet152,image-classification,1,224,4,3,1,4, -multicast-weights -aic-enable-depth-first,1,fp16,best-latency,782.265,0.598903,18.15472081
resnet18,image-classification,1,224,12,1,1,, ,1,fp16,best-latency,2452.007,0.400893,8.945087252
resnet34,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,1653.017,0.592793,12.16203772
resnet50,image-classification,1,224,7,2,2,, ,1,fp16,best-latency,2467.284,0.817042,20.39823391
resnext101_32x8d,image-classification,1,224,2,7,1,1, -multicast-weights -aic-enable-depth-first,1,fp16,best-latency,594.397,0.923456,19.66141139
resnext101_64x4d,image-classification,1,224,4,3,1,, -aic-enable-depth-first,1,fp16,best-latency,552.93,0.5260096,17.23506074
resnext50_32x4d,image-classification,1,224,12,1,1,, -multicast-weights,1,fp16,best-latency,1611.456,0.7145521,13.8204407
shufflenet_v2_x0_5,image-classification,1,224,12,1,1,12, ,1,fp16,best-latency,1247,0.775437,0.111162728
