MODEL_NAME,TASK,BATCH_SIZE,IMAGE_SIZE,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY
vgg16_bn,image-classification,15,224,1,14,1,, -aic-enable-depth-first,3,fp16,best-throughput,2731.6,239
vgg19,image-classification,15,224,1,14,2,1, -aic-enable-depth-first,2,fp16,best-throughput,2244.4,192.8
vgg19_bn,image-classification,15,224,1,14,4,1, -aic-enable-depth-first,3,fp16,best-throughput,2329.1,273
vit_b_16,image-classification,4,224,2,7,4,1, ,2,fp16,best-throughput,1241.4,45.7
vit_b_32,image-classification,14,224,2,7,2,1, ,6,fp16,best-throughput,5431.9,110.6
wide_resnet101_2,image-classification,14,224,7,2,2,1, -multicast-weights,2,fp16,best-throughput,1490.3,37.9
wide_resnet50_2,image-classification,12,224,6,2,2,, ,6,fp16,best-throughput,2808.4,51.9
,,,,,,,,,,,,,
alexnet,image-classification,1,224,14,1,1,14, -multicast-weights,1,fp16,best-latency,730.7,1.4
densenet121,image-classification,1,224,6,2,1,1, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,1513.7,1.3
densenet161,image-classification,1,224,7,2,1,1, -multicast-weights,1,fp16,best-latency,661.3,3
densenet169,image-classification,1,224,12,1,1,1, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,532.6,1.9
densenet201,image-classification,1,224,12,1,1,2, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,473,2.1
efficientnet_b0,image-classification,1,224,7,2,1,, -multicast-weights,1,fp16,best-latency,1802.6,1.2
efficientnet_b1,image-classification,1,240,6,2,1,6, -multicast-weights,1,fp16,best-latency,1293.8,1.6
efficientnet_b2,image-classification,1,260,7,2,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,1001.3,2
efficientnet_b3,image-classification,1,300,7,2,1,, -multicast-weights,1,fp16,best-latency,756.2,2.7
efficientnet_b4,image-classification,1,380,14,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,282.8,3.5
efficientnet_b5,image-classification,1,456,12,1,2,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,124.9,8
efficientnet_b6,image-classification,1,528,14,1,1,14, -multicast-weights,1,fp16,best-latency,61.4,16.3
efficientnet_b7,image-classification,1,600,12,1,1,, ,1,fp16,best-latency,32.2,31
efficientnet_v2_l,image-classification,1,480,12,1,1,, -multicast-weights,1,fp16,best-latency,99.9,10
efficientnet_v2_m,image-classification,1,480,12,1,1,, ,1,fp16,best-latency,166.5,6
efficientnet_v2_s,image-classification,1,384,7,2,1,, -aic-enable-depth-first,1,fp16,best-latency,649.2,3.1
inception_v3,image-classification,1,299,7,2,1,1, -multicast-weights,1,fp16,best-latency,869.6,2.3
mnasnet0_5,image-classification,1,224,7,2,1,7, ,1,fp16,best-latency,3508.7,0.6
mnasnet0_75,image-classification,1,224,12,1,1,, ,1,fp16,best-latency,1658.9,0.6
mnasnet1_0,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,1567.7,0.6
